22-06-2022 14:48:37.690 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Employé après la sauvegarde Employe{id=2, nom='Besiat', prenom='Ivan', matricule='C00002', dateEmbauche=2022-06-22, salaire=1293.04, performance=1, tempsPartiel=0.5}
22-06-2022 14:48:37.824 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ipiecoles.java.java350.repository.EmployeRepositoryTest], using SpringBootContextLoader
22-06-2022 14:48:37.824 INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations - Could not detect default resource locations for test class [com.ipiecoles.java.java350.repository.EmployeRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
22-06-2022 14:48:37.824 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.ipiecoles.java.java350.repository.EmployeRepositoryTest]: EmployeRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
22-06-2022 14:48:37.828 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses - Found @SpringBootConfiguration com.ipiecoles.java.java350.Java350Application for test class com.ipiecoles.java.java350.repository.EmployeRepositoryTest
22-06-2022 14:48:37.829 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
22-06-2022 14:48:37.830 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7260f47f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6d0c9e93, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@72ef7f0, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5d9f23b2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@28a9f772, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@21580cf2, org.springframework.test.context.event.EventPublishingTestExecutionListener@51b9ee5e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@751fd568, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@126aaede, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@73b40ffd, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6de1c4cb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@66dee88a]
22-06-2022 14:48:37.945 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Embauche de l'employé : Besiat Ivan MANAGER MASTER 1.0
22-06-2022 14:48:37.947 WARN  c.i.j.java350.service.EmployeService.embaucheEmploye - Aucun employe trouvé, initialisation du matricule initial 00000
22-06-2022 14:48:37.947 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Calcul du salaire en fonction du rythme de travail
22-06-2022 14:48:37.947 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Salaire calculé : 2129.71
22-06-2022 14:48:37.948 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Employé avant la sauvegarde Employe{id=null, nom='Besiat', prenom='Ivan', matricule='M00001', dateEmbauche=2022-06-22, salaire=2129.71, performance=1, tempsPartiel=1.0}
22-06-2022 14:48:37.948 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Employé après la sauvegarde Employe{id=null, nom='Besiat', prenom='Ivan', matricule='M00001', dateEmbauche=2022-06-22, salaire=2129.71, performance=1, tempsPartiel=1.0}
22-06-2022 14:48:37.957 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Embauche de l'employé : Besiat Ivan COMMERCIAL DOCTORAT 0.5
22-06-2022 14:48:37.957 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Calcul du salaire en fonction du rythme de travail
22-06-2022 14:48:37.957 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Salaire calculé : 1293.04
22-06-2022 14:48:37.957 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Employé avant la sauvegarde Employe{id=null, nom='Besiat', prenom='Ivan', matricule='C00002', dateEmbauche=2022-06-22, salaire=1293.04, performance=1, tempsPartiel=0.5}
22-06-2022 14:48:37.958 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Employé après la sauvegarde Employe{id=null, nom='Besiat', prenom='Ivan', matricule='C00002', dateEmbauche=2022-06-22, salaire=1293.04, performance=1, tempsPartiel=0.5}
22-06-2022 14:48:37.960 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Embauche de l'employé : Besiat Ivan COMMERCIAL DOCTORAT 1.0
22-06-2022 14:48:37.961 ERROR c.i.j.java350.service.EmployeService.embaucheEmploye - Limite des 100000 matricules atteinte !
22-06-2022 14:48:37.965 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Embauche de l'employé : Besiat Ivan COMMERCIAL DOCTORAT 1.0
22-06-2022 14:48:37.965 WARN  c.i.j.java350.service.EmployeService.embaucheEmploye - Aucun employe trouvé, initialisation du matricule initial 00000
22-06-2022 14:48:37.965 ERROR c.i.j.java350.service.EmployeService.embaucheEmploye - L'employé de matricule C00001 existe déjà en BDD
22-06-2022 14:48:37.967 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Embauche de l'employé : Besiat Ivan COMMERCIAL DOCTORAT null
22-06-2022 14:48:37.967 WARN  c.i.j.java350.service.EmployeService.embaucheEmploye - Aucun employe trouvé, initialisation du matricule initial 00000
22-06-2022 14:48:37.967 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Salaire calculé : 2586.07
22-06-2022 14:48:37.967 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Employé avant la sauvegarde Employe{id=null, nom='Besiat', prenom='Ivan', matricule='C00001', dateEmbauche=2022-06-22, salaire=2586.07, performance=1, tempsPartiel=null}
22-06-2022 14:48:37.968 INFO  c.i.j.java350.service.EmployeService.embaucheEmploye - Employé après la sauvegarde Employe{id=null, nom='Besiat', prenom='Ivan', matricule='C00001', dateEmbauche=2022-06-22, salaire=2586.07, performance=1, tempsPartiel=null}
22-06-2022 14:48:37.973 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
22-06-2022 14:48:37.974 INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl.perform - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
22-06-2022 14:48:38.085 INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
22-06-2022 14:48:38.087 INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
